name	pid	gpu	log	out
cvar_eta_1_0	1247022	0	results/updated_hiv_reruns_20260503_221241/cvar_eta_1_0.log	results/ablations/cvar_eta_1.0-20260503_221241.json
cvar_eta_0_5	1247023	1	results/updated_hiv_reruns_20260503_221241/cvar_eta_0_5.log	results/ablations/cvar_eta_0.5-20260503_221241.json
cvar_eta_0_1	1247024	2	results/updated_hiv_reruns_20260503_221241/cvar_eta_0_1.log	results/ablations/cvar_eta_0.1-20260503_221241.json
gibbs_leaves	1247025	3	results/updated_hiv_reruns_20260503_221241/gibbs_leaves.log	results/ablations/gibbs_leaves-20260503_221241.json
mog_wt_only	1247026	4	results/updated_hiv_reruns_20260503_221241/mog_wt_only.log	results/mogdfm_baselines/hiv_train_wt_only_stage2_mogdfm_20260503_221241.json
mog_uniform_leaves	1247027	5	results/updated_hiv_reruns_20260503_221241/mog_uniform_leaves.log	results/mogdfm_baselines/hiv_train_uniform_leaves_stage2_mogdfm_20260503_221241.json
mog_random_variants	1247028	6	results/updated_hiv_reruns_20260503_221241/mog_random_variants.log	results/mogdfm_baselines/hiv_train_random_variants_stage2_mogdfm_20260503_221241.json
mog_esm_only_variants	1247029	7	results/updated_hiv_reruns_20260503_221241/mog_esm_only_variants.log	results/mogdfm_baselines/hiv_train_esm_only_variants_stage2_mogdfm_20260503_221241.json
mog_prob_weighted_variants	1247030	3	results/updated_hiv_reruns_20260503_221241/mog_prob_weighted_variants.log	results/mogdfm_baselines/hiv_train_prob_weighted_variants_stage2_mogdfm_20260503_221241.json
peptune_csv_baseline	1247031	1	results/updated_hiv_reruns_20260503_221241/peptune_csv_baseline.log	results/hiv_stage2/hiv_train_peptune_stage2_peptiverse.json
stage2_peptune_train	1247032	2	results/updated_hiv_reruns_20260503_221241/stage2_peptune_train.log	results/hiv_stage2/hiv_train_stage2_peptune.json
